0	0.099995
0.01	0.09998
0.02	0.099955
0.03	0.09992
0.04	0.099875
0.05	0.0998201
0.06	0.0997551
0.07	0.0996802
0.08	0.0995953
0.09	0.0995004
0.1	0.0993956
0.11	0.0992809
0.12	0.0991562
0.13	0.0990216
0.14	0.0988771
0.15	0.0987227
0.16	0.0985585
0.17	0.0983844
0.18	0.0982004
0.19	0.0980066
0.2	0.0978031
0.21	0.0975897
0.22	0.0973666
0.23	0.0971338
0.24	0.0968912
0.25	0.096639
0.26	0.0963771
0.27	0.0961055
0.28	0.0958244
0.29	0.0955336
0.3	0.0952333
0.31	0.0949235
0.32	0.0946042
0.33	0.0942754
0.34	0.0939372
0.35	0.0935896
0.36	0.0932327
0.37	0.0928664
0.38	0.0924908
0.39	0.092106
0.4	0.091712
0.41	0.0913088
0.42	0.0908965
0.43	0.0904751
0.44	0.0900446
0.45	0.0896052
0.46	0.0891567
0.47	0.0886994
0.48	0.0882332
0.49	0.0877582
0.5	0.0872743
0.51	0.0867818
0.52	0.0862806
0.53	0.0857708
0.54	0.0852523
0.55	0.0847254
0.56	0.08419
0.57	0.0836461
0.58	0.0830939
0.59	0.0825334
0.6	0.0819647
0.61	0.0813877
0.62	0.0808026
0.63	0.0802094
0.64	0.0796082
0.65	0.0789991
0.66	0.078382
0.67	0.0777571
0.68	0.0771244
0.69	0.076484
0.7	0.075836
0.71	0.0751804
0.72	0.0745172
0.73	0.0738466
0.74	0.0731687
0.75	0.0724834
0.76	0.0717908
0.77	0.0710911
0.78	0.0703843
0.79	0.0696704
0.8	0.0689496
0.81	0.0682219
0.82	0.0674873
0.83	0.066746
0.84	0.065998
0.85	0.0652435
0.86	0.0644824
0.87	0.0637148
0.88	0.0629409
0.89	0.0621607
0.9	0.0613743
0.91	0.0605817
0.92	0.0597831
0.93	0.0589785
0.94	0.058168
0.95	0.0573517
0.96	0.0565296
0.97	0.0557019
0.98	0.0548686
0.99	0.0540299
1	0.0531857
1.01	0.0523362
1.02	0.0514815
1.03	0.0506217
1.04	0.0497567
1.05	0.0488868
1.06	0.048012
1.07	0.0471324
1.08	0.0462481
1.09	0.0453592
1.1	0.0444657
1.11	0.0435678
1.12	0.0426656
1.13	0.041759
1.14	0.0408483
1.15	0.0399335
1.16	0.0390147
1.17	0.038092
1.18	0.0371655
1.19	0.0362353
1.2	0.0353015
1.21	0.0343641
1.22	0.0334233
1.23	0.0324791
1.24	0.0315317
1.25	0.0305812
1.26	0.0296276
1.27	0.028671
1.28	0.0277116
1.29	0.0267494
1.3	0.0257845
1.31	0.024817
1.32	0.0238471
1.33	0.0228747
1.34	0.0219001
1.35	0.0209233
1.36	0.0199444
1.37	0.0189635
1.38	0.0179807
1.39	0.0169961
1.4	0.0160099
1.41	0.015022
1.42	0.0140326
1.43	0.0130418
1.44	0.0120497
1.45	0.0110564
1.46	0.010062
1.47	0.00906655
1.48	0.00807023
1.49	0.0070731
1.5	0.00607526
1.51	0.00507682
1.52	0.00407786
1.53	0.0030785
1.54	0.00207884
1.55	0.00107896
1.56	7.89785e-005
1.57	-0.000921013
1.58	-0.00192091
1.59	-0.00292062
1.6	-0.00392003
1.61	-0.00491906
1.62	-0.00591759
1.63	-0.00691553
1.64	-0.00791277
1.65	-0.00890923
1.66	-0.0099048
1.67	-0.0108994
1.68	-0.0118929
1.69	-0.0128852
1.7	-0.0138762
1.71	-0.0148658
1.72	-0.0158539
1.73	-0.0168405
1.74	-0.0178253
1.75	-0.0188084
1.76	-0.0197896
1.77	-0.0207688
1.78	-0.021746
1.79	-0.0227209
1.8	-0.0236936
1.81	-0.024664
1.82	-0.0256318
1.83	-0.0265971
1.84	-0.0275598
1.85	-0.0285196
1.86	-0.0294767
1.87	-0.0304308
1.88	-0.0313818
1.89	-0.0323297
1.9	-0.0332744
1.91	-0.0342157
1.92	-0.0351536
1.93	-0.036088
1.94	-0.0370188
1.95	-0.0379459
1.96	-0.0388692
1.97	-0.0397886
1.98	-0.0407041
1.99	-0.0416154
2	-0.0425226
2.01	-0.0434256
2.02	-0.0443242
2.03	-0.0452184
2.04	-0.046108
2.05	-0.0469931
2.06	-0.0478734
2.07	-0.048749
2.08	-0.0496196
2.09	-0.0504854
2.1	-0.051346
2.11	-0.0522016
2.12	-0.0530519
2.13	-0.0538969
2.14	-0.0547365
2.15	-0.0555707
2.16	-0.0563993
2.17	-0.0572222
2.18	-0.0580394
2.19	-0.0588509
2.2	-0.0596564
2.21	-0.060456
2.22	-0.0612495
2.23	-0.0620369
2.24	-0.0628181
2.25	-0.063593
2.26	-0.0643616
2.27	-0.0651237
2.28	-0.0658793
2.29	-0.0666283
2.3	-0.0673707
2.31	-0.0681063
2.32	-0.0688351
2.33	-0.069557
2.34	-0.070272
2.35	-0.0709799
2.36	-0.0716808
2.37	-0.0723745
2.38	-0.0730609
2.39	-0.07374
2.4	-0.0744118
2.41	-0.0750761
2.42	-0.0757329
2.43	-0.0763822
2.44	-0.0770238
2.45	-0.0776577
2.46	-0.0782838
2.47	-0.0789021
2.48	-0.0795125
2.49	-0.080115
2.5	-0.0807094
2.51	-0.0812958
2.52	-0.0818741
2.53	-0.0824441
2.54	-0.0830059
2.55	-0.0835595
2.56	-0.0841046
2.57	-0.0846414
2.58	-0.0851697
2.59	-0.0856894
2.6	-0.0862006
2.61	-0.0867032
2.62	-0.0871971
2.63	-0.0876823
2.64	-0.0881587
2.65	-0.0886263
2.66	-0.0890851
2.67	-0.0895349
2.68	-0.0899758
2.69	-0.0904077
2.7	-0.0908305
2.71	-0.0912443
