0	-0.000999975
0.01	-0.00199985
0.02	-0.00299953
0.03	-0.0039989
0.04	-0.00499788
0.05	-0.00599635
0.06	-0.00699423
0.07	-0.0079914
0.08	-0.00898778
0.09	-0.00998326
0.1	-0.0109777
0.11	-0.0119711
0.12	-0.0129633
0.13	-0.0139542
0.14	-0.0149437
0.15	-0.0159317
0.16	-0.0169181
0.17	-0.0179028
0.18	-0.0188857
0.19	-0.0198668
0.2	-0.0208458
0.21	-0.0218228
0.22	-0.0227976
0.23	-0.0237701
0.24	-0.0247402
0.25	-0.0257078
0.26	-0.0266729
0.27	-0.0276353
0.28	-0.028595
0.29	-0.0295518
0.3	-0.0305056
0.31	-0.0314564
0.32	-0.032404
0.33	-0.0333484
0.34	-0.0342895
0.35	-0.0352271
0.36	-0.0361612
0.37	-0.0370917
0.38	-0.0380185
0.39	-0.0389415
0.4	-0.0398606
0.41	-0.0407757
0.42	-0.0416867
0.43	-0.0425936
0.44	-0.0434962
0.45	-0.0443944
0.46	-0.0452882
0.47	-0.0461775
0.48	-0.0470622
0.49	-0.0479421
0.5	-0.0488173
0.51	-0.0496876
0.52	-0.0505529
0.53	-0.0514131
0.54	-0.0522683
0.55	-0.0531182
0.56	-0.0539627
0.57	-0.0548019
0.58	-0.0556356
0.59	-0.0564637
0.6	-0.0572862
0.61	-0.058103
0.62	-0.058914
0.63	-0.059719
0.64	-0.0605181
0.65	-0.0613111
0.66	-0.062098
0.67	-0.0628787
0.68	-0.0636531
0.69	-0.0644212
0.7	-0.0651828
0.71	-0.0659379
0.72	-0.0666864
0.73	-0.0674282
0.74	-0.0681633
0.75	-0.0688915
0.76	-0.0696129
0.77	-0.0703273
0.78	-0.0710347
0.79	-0.0717349
0.8	-0.072428
0.81	-0.0731139
0.82	-0.0737924
0.83	-0.0744636
0.84	-0.0751273
0.85	-0.0757835
0.86	-0.0764322
0.87	-0.0770732
0.88	-0.0777064
0.89	-0.0783319
0.9	-0.0789496
0.91	-0.0795594
0.92	-0.0801612
0.93	-0.080755
0.94	-0.0813408
0.95	-0.0819184
0.96	-0.0824878
0.97	-0.0830489
0.98	-0.0836018
0.99	-0.0841463
1	-0.0846823
1.01	-0.08521
1.02	-0.085729
1.03	-0.0862396
1.04	-0.0867415
1.05	-0.0872347
1.06	-0.0877192
